features.properties.@id,Amenity_name,Latitude,Longitude,Terrace_Status
relation/18317100,null,"41,42","2,1188352",
way/61046283,Restaurant Els 4 Rellotges (Can Poy),"41,5702726","2,3886145",
way/151608602,Restaurant La Plaça,"41,5019141","2,1039412",
node/208984374,Central Rambla,"41,3782716","2,1761732",
way/217583616,Can Fisher,"41,3946034","2,2062292",
way/245214117,la Caseta del Migdia,"41,3596833","2,1607145",
way/246717741,Mirablau,"41,4160323","2,1319129",
way/249404809,PURO,"41,3911248","2,1461635",
way/268912897,Can Cortada,"41,4362503","2,1524833",
way/297248259,Embarcador del Ter,"41,9988217","2,2899014",
way/307514238,Can Martinet,"41,5169408","1,9021478",
way/315387188,Temple del Metall,"41,4741706","2,1662317",
way/319019058,AMARU,"4,1938554","2,2515621",
way/342925793,ReCarrega't Sant Cugat,"41,4987034","2,0723481",
way/392926648,Pacha,"41,3857491","2,1970415",
node/394737756,el Castell del Brull,"4,1817083","2,3031447",
way/407444636,Cals Frares,"41,5343806","2,4036639",
way/412702054,Camping,"41,3953192","2,2042386",
way/418383724,Bar Teula,"41,7504725","2,1223116",
node/420172674,La Nina,"41,2342908","1,8053026",
node/420172675,La Santa Maria,"41,2346069","1,8061586",
node/420172678,Sports Bar Sitges,"41,2347179","1,8064412",
way/421584736,Restaurant El Galliner,"41,4934764","2,0938185",
way/423212269,GAMAR - Espai sense alcohol,"4,1382436","2,1933127",
way/423690355,La Señorial,"41,3877789","0,2193278",
node/432592965,Mendizabal,"41,3803452","0,2170768",
way/435265740,Cafeteria Loro Charly,"41,5012351","0,2139806",
node/441947257,Giorgio,"41,5734075","0,1608906",
way/443599336,Asador Casa Juaco,"41,4476663","2,1426909",
way/445160643,Ferrer Select,"41,6924867","2,4937007",
way/446002194,La Base by Farré,"41,3967358","2,2101884",
node/476327681,Can Paixano,"41,3817618","2,1834151",
way/480748933,El Xeremell (restaurant),"41,6466776","2,5157804",
way/503949520,Piscolabis,"41,2903895","2,0738009",
way/503949521,Starbucks,"41,2906262","2,0739715",
node/506202703,Bar Almogávares,"41,3962323","2,1890864",
way/512297223,Blue Bar Beach,"41,6111069","2,6561387",
way/519771543,Restaurant Can Cases,"41,4343885","2,0985276",
node/534367691,Sant Bartomeu,"41,3755248","2,1346488",
way/546317426,Bar Elim,"41,5551515","2,0889148",
node/588003295,Sabes una Cosa,"41,4019328","0,2162054",
